date,a2c,ddpg,ppo,td3,sac,mvo,dji
2026-01-23,1031458.6970121305,1001517.2664957123,1000377.252829494,992295.455643425,984951.9562599066,1023413.2081506124,1014805.3931037022
2026-01-26,1037978.5223295133,1002691.6205759125,1004775.7352181659,994211.5499427414,990064.0035801352,1024406.6128839266,1021288.8986921571
2026-01-27,1039902.7911283415,966636.4219827729,1006411.9394329335,995483.6321494675,991888.0153382529,1019981.3237423743,1012835.6520466997
2026-01-28,1036666.5083524626,970633.4414377289,1005752.3108747059,994320.6466910935,992271.8037567176,1026806.968336138,1013087.6322835691
2026-01-29,1049521.761587326,980407.0497064667,1000540.8313477968,1007137.0370643234,992355.0254620513,1034264.6231350389,1014244.1900833625
2026-01-30,1043599.4747220915,973227.4661798554,996414.0078009753,1008760.5733497238,985215.8868706512,1035186.4028248829,1010542.6399648892
2026-02-02,1062323.4861356658,976914.6802835541,1005164.4426902041,1022901.1021201706,999002.8836998137,1045422.5599693728,1021190.9646878885
2026-02-03,1065050.9322416228,969875.0076761323,1000202.0470424343,1034100.0896384811,998829.5849562377,1048326.289354072,1017746.077553397
2026-02-04,1071695.501821701,971890.9007577973,1001864.3926381718,1037742.0395743942,1004820.8883449477,1041518.9601035054,1023126.3925117385
2026-02-05,1063762.8618070525,968752.6497583466,993479.7106794238,1028730.019264946,986160.3872786406,1036032.2893241793,1010878.5059646894
2026-02-06,1092519.0896512908,990565.7258615571,1012143.0569040638,1061045.1997535324,1010125.339183731,1078107.987466077,1035824.6301517888
2026-02-09,1095497.4479886931,984984.0282602387,1016735.3627026591,1061443.6911475754,1013767.4061963843,1077607.250654441,1036242.1212779831
2026-02-10,1093969.1137601775,988071.1103296357,1017972.4304053874,1061505.979332695,1016875.1939649085,1070230.126078039,1037322.463331668
2026-02-11,1102580.0494291228,982295.7323541718,1010775.0803628117,1070790.3015830612,1019956.9733138465,1083122.4436673142,1035942.9906219109
2026-02-12,1093843.5347196502,966452.9280328827,994547.9541090466,1057278.904106865,1006382.5479044836,1089772.2757139471,1022107.0069075364
2026-02-13,1097421.8261930388,968172.7893152314,997356.2041758496,1060194.7165992355,1008434.6876813315,1083946.1045045892,1023118.7224949161
2026-02-17,1099972.0380155486,973185.7658166962,995737.1595089947,1055370.74590374,1006341.6670322455,1077254.363648134,1023785.5295363467
2026-02-18,1097163.438589279,975537.3971109467,996200.6856602093,1051249.5681464768,1005248.0106600836,1077161.6346796392,1026461.4773001412
2026-02-19,1097308.526418869,972457.593956955,994167.6250721813,1052962.5742881394,1003653.4929836157,1074903.557896396,1020932.6062265036
2026-02-20,1101499.2341825408,977812.1358652192,997077.5637767864,1058076.0527350998,1008499.2201639747,1074117.3197479746,1025703.1144789573
2026-02-23,1097344.3832303924,950176.3457117158,970049.282231094,1049534.3270042038,988515.3239551008,1086231.5261648917,1008715.3190097249
2026-02-24,1106032.070242111,950826.443276413,977972.8563983685,1056035.6133353806,997214.5869889602,1091758.5434587882,1016371.8527498866
2026-02-25,1107028.796377365,960746.2401590424,986445.5904025646,1057031.3189780808,1002646.094173416,1094268.9682985495,1022730.5389066852
2026-02-26,1098237.3007718963,961508.153962143,987277.6278322522,1047846.4647147751,1003479.9548513258,1069976.2504032901,1023082.955995418
2026-02-27,1094822.3111478728,958638.7470102387,976115.7399226452,1042050.3877952194,994046.8339368361,1070385.2375482412,1012308.8429965319
2026-03-02,1097479.9309598845,962912.9437189179,976349.0480055385,1039294.3389442062,992648.2582287521,1076016.0187302777,1010797.1230493534
2026-03-03,1077562.1218168181,956343.2154245453,969766.1639735409,1026579.7966849899,981558.5491146774,1067738.4355904537,1002457.0697047899
2026-03-04,1087394.9473783416,962890.4683618622,977939.7204369426,1034928.0361640549,987244.4592327804,1073410.6050517324,1007379.1213422496
2026-03-05,1063769.3215848845,954580.5405740815,967953.0216777035,1014583.3570335007,973134.9237332076,1053706.1063491036,991160.991876887
2026-03-06,1050775.1054593963,949469.4657678681,959319.4679761578,997769.1956412888,956694.8173489303,1042461.5065488801,981794.2058593761
2026-03-09,1065950.8765165252,947865.2210474091,963888.7324804913,1007992.5003287888,965417.3076138229,1056903.1445150024,986739.1868102838
2026-03-10,1069117.6515409392,943425.1176157075,962072.3370339505,1014272.4535377121,966280.2807965011,1062848.1613953884,986030.4772558974
2026-03-11,1062790.8185331267,942066.0072336274,958183.0888914258,1010586.2202155686,959114.2879223556,1058860.26656707,980052.2239334882
2026-03-12,1047054.1652738493,930998.1368188935,948105.1987962262,1001359.3145835495,950080.8447231979,1054772.2369892178,964769.4328353582
2026-03-13,1044381.4573270719,933552.0030222016,945490.8314950329,999777.2989814377,945206.2514691085,1052079.5875538003,962301.9480550936
2026-03-16,1051230.6856901092,940466.473114975,951901.3269298016,1003935.0760276413,952864.5073055953,1059025.123834515,970320.1836411944
2026-03-17,1048388.0783292692,943120.8315515595,953980.2565701901,1005369.5687873459,953340.9083322295,1053427.3821271353,971288.5434492728
2026-03-18,1029874.7312833708,927438.8601389008,936147.048756828,990168.2115104294,938377.8383570098,1036767.5157862795,955412.658208226
2026-03-19,,,,,,,951202.0611838049
